Metric,Key,Value,Percentage
Top Author,github-actions,2237,32.4%
Top Author,Sebastián Ramírez,2018,29.2%
Top Author,github-actions[bot],475,6.9%
Top Author,dependabot[bot],149,2.2%
Top Author,Nils Lindemann,131,1.9%
Top Author,Motov Yurii,81,1.2%
Top Author,Alejandra,56,0.8%
Top Author,pre-commit-ci[bot],50,0.7%
Top Author,jaystone776,49,0.7%
Top Author,Valentyn,33,0.5%
Monthly Activity,2026-03,46,
Monthly Activity,2026-02,287,
Monthly Activity,2026-01,76,
Monthly Activity,2025-12,230,
Monthly Activity,2025-11,81,
Monthly Activity,2025-10,92,
Monthly Activity,2025-09,104,
Monthly Activity,2025-08,64,
Monthly Activity,2025-07,71,
Monthly Activity,2025-06,83,
Monthly Activity,2025-05,62,
Monthly Activity,2025-04,32,
Monthly Activity,2025-03,59,
Monthly Activity,2025-02,121,
Monthly Activity,2025-01,151,
Monthly Activity,2024-12,124,
Monthly Activity,2024-11,220,
Monthly Activity,2024-10,263,
Monthly Activity,2024-09,109,
Monthly Activity,2024-08,203,
Monthly Activity,2024-07,92,
Monthly Activity,2024-06,56,
Monthly Activity,2024-05,61,
Monthly Activity,2024-04,107,
Monthly Activity,2024-03,303,
Monthly Activity,2024-02,84,
Monthly Activity,2024-01,377,
Monthly Activity,2023-12,30,
Monthly Activity,2023-11,14,
Monthly Activity,2023-10,65,
Monthly Activity,2023-09,73,
Monthly Activity,2023-08,101,
Monthly Activity,2023-07,54,
Monthly Activity,2023-06,184,
Monthly Activity,2023-05,23,
Monthly Activity,2023-04,62,
Monthly Activity,2023-03,66,
Monthly Activity,2023-02,48,
Monthly Activity,2023-01,60,
Monthly Activity,2022-12,10,
Monthly Activity,2022-11,95,
Monthly Activity,2022-10,60,
Monthly Activity,2022-09,82,
Monthly Activity,2022-08,135,
Monthly Activity,2022-07,50,
Monthly Activity,2022-06,2,
Monthly Activity,2022-05,114,
Monthly Activity,2022-04,32,
Monthly Activity,2022-03,24,
Monthly Activity,2022-02,13,
Monthly Activity,2022-01,48,
Monthly Activity,2021-12,23,
Monthly Activity,2021-10,113,
Monthly Activity,2021-09,6,
Monthly Activity,2021-08,34,
Monthly Activity,2021-07,139,
Monthly Activity,2021-06,11,
Monthly Activity,2021-05,51,
Monthly Activity,2021-04,2,
Monthly Activity,2021-03,27,
Monthly Activity,2021-02,40,
Monthly Activity,2021-01,38,
Monthly Activity,2020-12,39,
Monthly Activity,2020-11,95,
Monthly Activity,2020-10,86,
Monthly Activity,2020-09,1,
Monthly Activity,2020-08,76,
Monthly Activity,2020-07,63,
Monthly Activity,2020-06,121,
Monthly Activity,2020-05,64,
Monthly Activity,2020-04,33,
Monthly Activity,2020-03,57,
Monthly Activity,2020-02,53,
Monthly Activity,2020-01,37,
Monthly Activity,2019-12,15,
Monthly Activity,2019-11,45,
Monthly Activity,2019-10,29,
Monthly Activity,2019-09,10,
Monthly Activity,2019-08,47,
Monthly Activity,2019-07,13,
Monthly Activity,2019-06,55,
Monthly Activity,2019-05,64,
Monthly Activity,2019-04,80,
Monthly Activity,2019-03,91,
Monthly Activity,2019-02,46,
Monthly Activity,2019-01,15,
Monthly Activity,2018-12,190,
Longest Gap,2019-10-09 to 2019-11-23,45 days,
